SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,5 Bayard Rd #920,Pittsburgh,PA,15213,180000,1,1.0,,709,,1969,,254,,,,,https://www.redfin.com/PA/Pittsburgh/5-Bayard-Rd-15213/unit-920/home/74665042,,,N,Y,40.4526167,-79.9428455
PAST SALE,November-4-2022,Single Family Residential,3917 Liberty Ave,Lawrenceville,PA,15224,287400,5,3.0,Lawrenceville,1908,1999,1900,,151,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3917-Liberty-Ave-15224/home/74653095,West Penn MLS,1543415,N,Y,40.4627631,-79.9587675
PAST SALE,November-4-2022,Single Family Residential,602 Arthur St,Downtown Pgh,PA,15219,350000,4,2.5,Downtown Pgh,,3563,1995,,,17,Sold,,,https://www.redfin.com/PA/Pittsburgh/602-Arthur-St-15219/home/74773894,West Penn MLS,1564992,N,Y,40.4435698,-79.984856
PAST SALE,,Single Family Residential,232 Robinson St,Pittsburgh,PA,15213,317050,4,1.5,,2084,1820,1915,,152,,,,,https://www.redfin.com/PA/Pittsburgh/232-Robinson-St-15213/home/74571487,,,N,Y,40.4415093,-79.9654214
PAST SALE,,Single Family Residential,4706 Lorigan St,Pittsburgh,PA,15224,55000,6,1.5,,1843,3252,1880,,30,,,,,https://www.redfin.com/PA/Pittsburgh/4706-Lorigan-St-15224/home/74563499,,,N,Y,40.4588377,-79.9521676
PAST SALE,November-2-2022,Single Family Residential,5137 Woodworth St,Bloomfield,PA,15224,250000,2,1.5,Bloomfield,1720,3332,1900,,145,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5137-Woodworth-St-15224/home/74662360,West Penn MLS,1576152,N,Y,40.4564413,-79.9440054
PAST SALE,November-1-2022,Single Family Residential,4728 Wallingford St,Shadyside,PA,15213,542500,7,3.0,Shadyside,,9082,1896,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/4728-Wallingford-St-15213/home/74664453,West Penn MLS,1577548,N,Y,40.4516238,-79.947935
PAST SALE,,Townhouse,4711 Bayard St,Pittsburgh,PA,15213,610000,3,2.5,,1920,1963,1965,,318,,,,,https://www.redfin.com/PA/Pittsburgh/4711-Bayard-St-15213/home/74664394,,,N,Y,40.4507405,-79.9484338
PAST SALE,,Single Family Residential,3950 Cabinet Way,Pittsburgh,PA,15224,85000,2,1.0,,1306,800,1900,,65,,,,,https://www.redfin.com/PA/Pittsburgh/3950-Cabinet-Way-15224/home/74653354,,,N,Y,40.4638636,-79.9577675
PAST SALE,October-28-2022,Single Family Residential,808 Devonshire St,Shadyside,PA,15213,1975000,6,4.5,Shadyside,5791,12000,1910,,341,,Sold,,,https://www.redfin.com/PA/Pittsburgh/808-Devonshire-St-15213/home/74665228,West Penn MLS,1573393,N,Y,40.4484274,-79.944584
PAST SALE,October-27-2022,Single Family Residential,856 Canterbury Ln,Shadyside,PA,15232,1875000,4,3.5,Shadyside,3135,43,1940,,598,,Sold,,,https://www.redfin.com/PA/Pittsburgh/856-Canterbury-Ln-15232/home/74665524,West Penn MLS,1574691,N,Y,40.448245,-79.9414145
PAST SALE,October-27-2022,Condo/Co-op,128 N Craig #604,Oakland,PA,15213,300000,3,2.0,Oakland,1680,,1957,,179,969,Sold,,,https://www.redfin.com/PA/Pittsburgh/128-N-Craig-St-15213/unit-604/home/74664807,West Penn MLS,1566566,N,Y,40.4480778,-79.9483198
PAST SALE,,Condo/Co-op,307 S Dithridge St #809,Pittsburgh,PA,15213,215000,2,2.0,,1396,,1979,,154,,,,,https://www.redfin.com/PA/Pittsburgh/307-S-Dithridge-St-15213/unit-809/home/74567823,,,N,Y,40.4453513,-79.9499554
PAST SALE,October-21-2022,Condo/Co-op,2554 Smallman St #405,Downtown Pgh,PA,15222,340000,1,1.0,Downtown Pgh,568,566,2020,,599,,Sold,,,https://www.redfin.com/PA/Pittsburgh/2554-Smallman-St-15222/unit-405/home/171259842,West Penn MLS,1574659,N,Y,40.4551286,-79.9792205
PAST SALE,October-21-2022,Multi-Family (2-4 Unit),325 Ella St,Bloomfield,PA,15224,255000,3,2.0,Bloomfield,,1559,1880,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/325-Ella-St-15224/home/74563434,West Penn MLS,1556628,N,Y,40.4623173,-79.9522836
PAST SALE,October-19-2022,Condo/Co-op,4625 Fifth Ave #800,Oakland,PA,15213,141500,2,2.0,Oakland,1200,,1967,,118,900,Sold,,,https://www.redfin.com/PA/Pittsburgh/4625-Fifth-Ave-15213/unit-800/home/177954594,West Penn MLS,1536965,N,Y,40.4472165,-79.9480654
PAST SALE,,Single Family Residential,235 S Pacific Ave,Pittsburgh,PA,15224,575000,6,3.5,,2882,4950,1915,,200,,,,,https://www.redfin.com/PA/Pittsburgh/235-S-Pacific-Ave-15224/home/74658521,,,N,Y,40.4627764,-79.9400156
PAST SALE,,Condo/Co-op,537 N Neville St Unit 4H,Pittsburgh,PA,15213,975000,2,2.5,,2039,,2007,,478,,,,,https://www.redfin.com/PA/Pittsburgh/537-N-Neville-St-15213/unit-4H/home/73563208,,,N,Y,40.4492804,-79.9480074
PAST SALE,October-18-2022,Single Family Residential,1623 Wylie Ave,Downtown Pgh,PA,15219,300000,3,1.5,Downtown Pgh,1274,1132,1996,,235,17,Sold,,,https://www.redfin.com/PA/Pittsburgh/1623-Wylie-Ave-15219/home/74773573,West Penn MLS,1540610,N,Y,40.4433712,-79.9856489
PAST SALE,,Townhouse,2709 Brackenridge St,Pittsburgh,PA,15219,23000,2,1.0,,1080,1795,1930,,21,,,,,https://www.redfin.com/PA/Pittsburgh/2709-Brackenridge-St-15219/home/74457165,,,N,Y,40.4467994,-79.966667
PAST SALE,October-17-2022,Condo/Co-op,128 N Craig St #805,Oakland,PA,15213,264000,2,2.0,Oakland,,,1957,,,765,Sold,,,https://www.redfin.com/PA/Pittsburgh/128-N-Craig-St-15213/unit-805/home/74664827,West Penn MLS,1572224,N,Y,40.4480778,-79.9483198
PAST SALE,October-13-2022,Condo/Co-op,4625 Fifth Ave #411,Oakland,PA,15213,96500,2,1.0,Oakland,,,1956,,,668,Sold,,,https://www.redfin.com/PA/Pittsburgh/4625-Fifth-Ave-15213/unit-411/home/102224844,West Penn MLS,1555127,N,Y,40.4473994,-79.9482013
PAST SALE,October-12-2022,Single Family Residential,213 S Evaline,Friendship Park,PA,15224,687500,6,2.5,Friendship Park,3661,4534,1904,,188,,Sold,,,https://www.redfin.com/PA/Pittsburgh/213-S-Evaline-St-15224/home/74658399,West Penn MLS,1569309,N,Y,40.4633918,-79.9411959
PAST SALE,October-12-2022,Condo/Co-op,537 N Neville St Unit 3B,Oakland,PA,15213,740000,2,2.0,Oakland,1570,,2007,,471,1117,Sold,,,https://www.redfin.com/PA/Pittsburgh/537-N-Neville-St-15213/unit-3B/home/74445177,West Penn MLS,1575304,N,Y,40.4492804,-79.9480074
PAST SALE,October-11-2022,Condo/Co-op,128 N Craig St #701,Oakland,PA,15213,245000,2,2.0,Oakland,1267,,1957,,193,732,Sold,,,https://www.redfin.com/PA/Pittsburgh/128-N-Craig-St-15213/unit-701/home/74664824,West Penn MLS,1571404,N,Y,40.4480778,-79.9483198
PAST SALE,October-11-2022,Condo/Co-op,2434 Smallman St #315,Downtown Pgh,PA,15222,375000,1,1.0,Downtown Pgh,1070,4356,2010,,350,257,Sold,,,https://www.redfin.com/PA/Pittsburgh/2434-Smallman-St-15222/unit-315/home/73515323,West Penn MLS,1574973,N,Y,40.4542652,-79.9807707
PAST SALE,October-6-2022,Single Family Residential,360 South Evaline,Friendship Park,PA,15224,612000,4,3.0,Friendship Park,2740,3920,1925,,223,,Sold,,,https://www.redfin.com/PA/Pittsburgh/360-S-Evaline-St-15224/home/74661370,West Penn MLS,1571749,N,Y,40.4604749,-79.9420702
