SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-26-2020,Single Family Residential,3601 Melwood Ave,Polish Hill,PA,15213,140000,4,1,Polish Hill,1860,,1900,,75,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3601-Melwood-Ave-15213/home/74563732,West Penn MLS,1446341,N,Y,40.4597341,-79.960166
PAST SALE,,Multi-Family (2-4 Unit),3307 Bethoven St,Pittsburgh,PA,15219,90000,6,2,,2947,5160,1900,,31,,,,,https://www.redfin.com/PA/Pittsburgh/3307-Bethoven-St-15219/home/74563911,,,N,Y,40.4575474,-79.9632179
PAST SALE,,Multi-Family (2-4 Unit),342 Downing St,Pittsburgh,PA,15219,92000,2,2,,1190,2520,1900,,77,,,,,https://www.redfin.com/PA/Pittsburgh/342-Downing-St-15219/home/74562213,,,N,Y,40.4575173,-79.9668187
PAST SALE,June-29-2020,Single Family Residential,3205 Dobson St,Polish Hill,PA,15219,352500,3,2.5,Polish Hill,2236,,1926,,158,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3205-Dobson-St-15219/home/74563891,West Penn MLS,1441675,N,Y,40.4579634,-79.965527
PAST SALE,March-19-2020,Single Family Residential,16 Revere Way,Polish Hill,PA,15219,210000,3,1,Polish Hill,1754,,1900,,120,,Sold,,,https://www.redfin.com/PA/Pittsburgh/16-Revere-Way-15219/home/74561565,West Penn MLS,1433842,N,Y,40.4581061,-79.966667
PAST SALE,March-18-2020,Single Family Residential,3532 Melwood Ave,Polish Hill,PA,15213,150000,5,1.5,Polish Hill,2228,,1950,,67,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3532-Melwood-Ave-15213/home/74563862,West Penn MLS,1427261,N,Y,40.4594584,-79.960166
PAST SALE,March-10-2020,Single Family Residential,3531 Bethoven,Bloomfield,PA,15213,178000,4,1.5,Bloomfield,1395,,1900,,128,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3531-Bethoven-St-15213/home/74563690,West Penn MLS,1426328,N,Y,40.4588945,-79.9598149
PAST SALE,March-6-2020,Single Family Residential,3026 Wiggins St,Polish Hill,PA,15219,153000,3,1,Polish Hill,990,,1894,,155,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3026-Wiggins-St-15219/home/74561654,West Penn MLS,1421549,N,Y,40.4573088,-79.9691884
PAST SALE,March-4-2020,Single Family Residential,327 Downing St,Polish Hill,PA,15219,270000,3,2,Polish Hill,1920,,1900,,141,,Sold,,,https://www.redfin.com/PA/Pittsburgh/327-Downing-St-15219/home/74561558,West Penn MLS,1420930,N,Y,40.4579569,-79.9668088
PAST SALE,February-25-2020,Single Family Residential,3327 Melwood Ave,Polish Hill,PA,15219,128500,2,1,Polish Hill,1178,,1900,,109,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3327-Melwood-Ave-15219/home/73500506,West Penn MLS,1432138,N,Y,40.4585945,-79.963131
PAST SALE,December-23-2019,Single Family Residential,26 Revere,Polish Hill,PA,15219,255000,3,2.5,Polish Hill,1680,,1900,,152,,Sold,,,https://www.redfin.com/PA/Pittsburgh/26-Revere-Way-15219/home/169731665,West Penn MLS,1425998,N,Y,40.4578353,-79.9664373
PAST SALE,December-10-2019,Multi-Family (2-4 Unit),3037 Pulawski Way,Polish Hill,PA,15219,300000,4,2.5,Polish Hill,,,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3037-Pulawski-Way-15219/home/74561673,West Penn MLS,1419898,N,Y,40.4569552,-79.9685742
PAST SALE,,Other,3021 Paulowna St,Pittsburgh,PA,15219,123000,1,1.5,,1920,2400,1900,,64,,,,,https://www.redfin.com/PA/Pittsburgh/3021-Paulowna-St-15219/home/73500432,,,N,Y,40.4558887,-79.9681103
PAST SALE,,Condo/Co-op,24 Revere Way,Pittsburgh,PA,15219,249000,3,2.5,,1932,,1900,,129,,,,,https://www.redfin.com/PA/Pittsburgh/24-Revere-Way-15219/home/171259826,,,N,Y,40.4578892,-79.966492
PAST SALE,November-6-2019,Single Family Residential,24 Revere Way,Polish Hill,PA,15219,249000,3,2.5,Polish Hill,1680,,1900,,148,,Sold,,,https://www.redfin.com/PA/Pittsburgh/24-Revere-Way-15219/home/74561553,West Penn MLS,1401837,N,Y,40.4578892,-79.966492
PAST SALE,October-31-2019,Single Family Residential,3007 Brereton St,E Pittsburgh,PA,15219,135000,0,,E Pittsburgh,,,1930,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3007-Brereton-St-15219/home/173126711,West Penn MLS,1412923,N,Y,40.456682,-79.9698681
PAST SALE,October-4-2019,Multi-Family (2-4 Unit),329 Downing St,Polish Hill,PA,15219,215000,4,2,Polish Hill,,,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/329-Downing-St-15219/home/74561551,West Penn MLS,1410086,N,Y,40.4578783,-79.96677
PAST SALE,September-26-2019,Single Family Residential,3035 Bigelow Blvd,Polish Hill,PA,15219,85000,4,1,Polish Hill,,,1910,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3035-Bigelow-Blvd-15219/home/74562234,West Penn MLS,1402599,N,Y,40.455489,-79.9672675
PAST SALE,September-4-2019,Single Family Residential,3210 Brereton,Polish Hill,PA,15219,250000,2,2,Polish Hill,1133,,1900,,221,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3210-Brereton-St-15219/home/74564267,West Penn MLS,1395002,N,Y,40.4566401,-79.9657778
PAST SALE,August-12-2019,Multi-Family (2-4 Unit),314-316 Harmar,Polish Hill,PA,15219,73000,,,Polish Hill,,,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/314-Harmar-St-15219/home/74561541,West Penn MLS,1356485,N,Y,40.4578302,-79.9683628
PAST SALE,July-24-2019,Single Family Residential,3446 Flavian St,Polish Hill,PA,15219,135000,1,1,Polish Hill,945,,1900,,143,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3446-Flavian-St-15219/home/74563715,West Penn MLS,1399871,N,Y,40.4592541,-79.9617722
PAST SALE,July-18-2019,Single Family Residential,3707 Melwood,Polish Hill,PA,15213,457500,3,3,Polish Hill,2400,,2018,,191,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3707-Melwood-Ave-15213/home/146423444,West Penn MLS,1387433,N,Y,40.4600728,-79.9586684
PAST SALE,,Condo/Co-op,3019 Brereton St,Pittsburgh,PA,15219,154000,2,1.5,,1700,,1900,,91,,,,,https://www.redfin.com/PA/Pittsburgh/3019-Brereton-St-15219/home/74561660,,,N,Y,40.456822,-79.969354
PAST SALE,,Single Family Residential,3206 Downing St,Pittsburgh,PA,15219,140000,2,1,,1199,1500,1920,,117,,,,,https://www.redfin.com/PA/Pittsburgh/3206-Downing-St-15219/home/74561560,,,N,Y,40.4582896,-79.9668729
PAST SALE,,Single Family Residential,3033 Wiggins St,Pittsburgh,PA,15219,250000,3,2,,1362,1624,1880,,184,,,,,https://www.redfin.com/PA/Pittsburgh/3033-Wiggins-St-15219/home/74561580,,,N,Y,40.4575948,-79.9688774
PAST SALE,June-27-2019,Single Family Residential,3501 Melwood Ave,Polish Hill,PA,15213,99900,0,,Polish Hill,,2178,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3501-Melwood-Ave-15213/home/74563725,West Penn MLS,1341182,N,Y,40.4592047,-79.9613487
PAST SALE,June-14-2019,Single Family Residential,3014 Wiggins St,Polish Hill,PA,15219,350000,3,2,Polish Hill,1440,3049,1993,,243,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3014-Wiggins-St-15219/home/74561671,West Penn MLS,1391869,N,Y,40.4572144,-79.9696496
PAST SALE,June-10-2019,Single Family Residential,18 Revere Way,Polish Hill,PA,15219,200000,2,1,Polish Hill,1152,,1905,,174,,Sold,,,https://www.redfin.com/PA/Pittsburgh/18-Revere-Way-15219/home/74561564,West Penn MLS,1389324,N,Y,40.4580648,-79.9666451
PAST SALE,May-14-2019,Single Family Residential,3110 Phelan Way,Polish Hill,PA,15219,235000,2,1,Polish Hill,1600,,1930,,147,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3110-Phelan-Way-15219/home/74561597,West Penn MLS,1360084,N,Y,40.4561784,-79.966809
PAST SALE,April-30-2019,Single Family Residential,304 30th St,Polish Hill,PA,15219,297000,3,1.5,Polish Hill,1176,,1983,,253,,Sold,,,https://www.redfin.com/PA/Pittsburgh/304-30th-St-15219/home/74561621,West Penn MLS,1380963,N,Y,40.4568701,-79.9702177
PAST SALE,March-4-2019,Single Family Residential,3040 Phelan Way,Hill District,PA,15219,14000,0,,Hill District,,871,,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3040-Phelan-Way-15219/home/148552807,West Penn MLS,1375116,N,Y,40.4560793,-79.9684374
