SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Multi-Family (2-4 Unit),3604 Melwood Ave,Pittsburgh,PA,15213,240000,2,1,,1624,2900,1900,,148,,,,,https://www.redfin.com/PA/Pittsburgh/3604-Melwood-Ave-15213/home/74563753,,,N,Y,40.4595524,-79.9598776
PAST SALE,,Single Family Residential,1031 Herron Ave,Pittsburgh,PA,15219,184500,3,1.5,,1734,1180,1885,,106,,,,,https://www.redfin.com/PA/Pittsburgh/1031-Herron-Ave-15219/home/73511574,,,N,Y,40.4576077,-79.9642305
PAST SALE,April-13-2022,Single Family Residential,1031 Herron Ave,Polish Hill,PA,15219,184500,3,1,Polish Hill,1734,,1885,,106,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1031-Herron-Ave-15219/home/74563866,West Penn MLS,1500399,N,Y,40.4576077,-79.9642305
PAST SALE,April-8-2022,Multi-Family (2-4 Unit),3034 Brereton St,Polish Hill,PA,15219,280000,2,2,Polish Hill,,3001,1902,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3034-Brereton-St-15219/home/74561617,West Penn MLS,1537623,N,Y,40.4564561,-79.9686942
PAST SALE,April-6-2022,Single Family Residential,3511 Melwood Ave,Polish Hill,PA,15213,283000,3,2,Polish Hill,,,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3511-Melwood-Ave-15213/home/74563735,West Penn MLS,1528683,N,Y,40.4594039,-79.9610074
PAST SALE,March-31-2022,Multi-Family (2-4 Unit),3704-06 Melwood Ave,Polish Hill,PA,15213,321000,5,2.5,Polish Hill,,4173,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3704-Melwood-Ave-15213/home/163821869,West Penn MLS,1531877,N,Y,40.4597609,-79.9586003
PAST SALE,March-11-2022,Single Family Residential,1012 Herron Ave,Polish Hill,PA,15219,327500,3,2.5,Polish Hill,1400,1999,1900,,234,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1012-Herron-Ave-15219/home/73524718,West Penn MLS,1533798,N,Y,40.456912,-79.9645621
PAST SALE,,Multi-Family (2-4 Unit),333 Downing St,Pittsburgh,PA,15219,380000,2,2.5,,1984,1550,1900,,192,,,,,https://www.redfin.com/PA/Pittsburgh/333-Downing-St-15219/home/74561552,,,N,Y,40.4577821,-79.9666779
PAST SALE,February-7-2022,Single Family Residential,3216 Brereton St,Polish Hill,PA,15219,225000,3,1,Polish Hill,1724,2212,1900,,131,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3216-Brereton-St-15219/home/74564282,West Penn MLS,1526347,N,Y,40.456623,-79.9655853
PAST SALE,,Single Family Residential,3202 Downing St,Pittsburgh,PA,15219,165000,2,1,,1132,1575,1920,,146,,,,,https://www.redfin.com/PA/Pittsburgh/3202-Downing-St-15219/home/74561562,,,N,Y,40.458242,-79.967004
PAST SALE,January-4-2022,Single Family Residential,3038 Phelan Way,Polish Hill,PA,15219,194000,3,3,Polish Hill,3200,1306,1900,,61,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3038-Phelan-Way-15219/home/74562200,West Penn MLS,1510864,N,Y,40.456098,-79.9684695
PAST SALE,December-30-2021,Single Family Residential,3546 Melwood Ave,Polish Hill,PA,15213,379900,2,2.5,Polish Hill,3120,2700,1900,,122,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3546-Melwood-Ave-15213/home/74563754,West Penn MLS,1520497,N,Y,40.4596057,-79.9595979
PAST SALE,December-28-2021,Single Family Residential,3279 Bigelow,Polish Hill,PA,15219,70000,3,1.5,Polish Hill,1512,,1900,,46,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3279-Bigelow-Blvd-15219/home/74562236,West Penn MLS,1521349,N,Y,40.4557074,-79.9665624
PAST SALE,December-1-2021,Single Family Residential,3721 Melwood Ave,Polish Hill,PA,15213,522500,3,3,Polish Hill,2187,3750,2021,,239,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3721-Melwood-Ave-15213/home/163855345,West Penn MLS,1521926,N,Y,40.46021,-79.958297
PAST SALE,November-12-2021,Single Family Residential,333 Downing St Unit 1 & 2,Polish Hill,PA,15219,380000,3,2.5,Polish Hill,1984,,1900,,192,,Sold,,,https://www.redfin.com/PA/Pittsburgh/333-Downing-St-15219/unit-1-2/home/175547690,West Penn MLS,1507738,N,Y,40.4577821,-79.9666779
PAST SALE,October-28-2021,Single Family Residential,331 Hancock St,Polish Hill,PA,15219,320000,2,1.5,Polish Hill,1760,,2017,,182,,Sold,,,https://www.redfin.com/PA/Pittsburgh/331-Hancock-St-15219/home/145085607,West Penn MLS,1520107,N,Y,40.4583004,-79.9660379
PAST SALE,October-8-2021,Multi-Family (2-4 Unit),322 Hancock St,Polish Hill,PA,15219,219000,3,2,Polish Hill,,1999,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/322-Hancock-St-15219/home/74561571,West Penn MLS,1519119,N,Y,40.4583357,-79.9663594
PAST SALE,October-4-2021,Single Family Residential,3208 Downing,Polish Hill,PA,15219,125000,2,1.5,Polish Hill,1288,1306,1900,,97,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3208-Downing-St-15219/home/74561559,West Penn MLS,1513316,N,Y,40.4582815,-79.9667705
